"age","ageshare","femratio","msm_rate","wsw_rate"
0,0.0240064420912743,0.486629582,0,0
1,0.0241065807928794,0.486609995,0,0
2,0.024494362551163,0.487082628,0,0
3,0.0250793869397309,0.486476551,0,0
4,0.024472778682597,0.485183048,0,0
5,0.0245428396734237,0.486227865,0,0
6,0.0257457778755188,0.48713496,0,0
7,0.0258529429275927,0.486639901,0,0
8,0.0260506580902185,0.486841015,0,0
9,0.0268066863566938,0.48770621,0,0
10,0.0277079288011731,0.486594834,0,0
11,0.0284359720000965,0.486519244,0,0
12,0.0274554675202599,0.474254721408919,0.0391492814349979,0.0490366509813784
13,0.0270680546615599,0.465971014225159,0.0376133995089139,0.047130422825803
14,0.025919200483154,0.456276971629999,0.0354688330637309,0.0445439171571457
15,0.0229639095146808,0.447452122080406,0.0329493443235683,0.0413467522267678
16,0.0207811829324487,0.439217945263395,0.0302430149553603,0.0379267087778262
17,0.0192898545935398,0.429868141836851,0.0275067348029872,0.0347075265597666
18,0.0185956695038827,0.424316225996485,0.0251517939174602,0.0314590640356765
19,0.0175779804445396,0.417394588913161,0.0230064634577767,0.0286568431113239
20,0.0177033753189834,0.409706866302117,0.0244988907478203,0.0262315827703873
21,0.016669238263406,0.4010179376589,0.0225561729652136,0.0241533100278389
22,0.0156214878991944,0.392585459167232,0.0250591491039457,0.0223013660352369
23,0.0146289726518741,0.384995714580975,0.0232526218018655,0.0206139759468174
24,0.0132757021105003,0.378118026752716,0.0251648980232066,0.0190807888398254
25,0.0121479938962339,0.37482281560832,0.0234928783008091,0.0175558285167898
26,0.0113300236672743,0.369593207197072,0.0231746594488749,0.0163034556849608
27,0.0105932086965526,0.36699024178939,0.0215341526854824,0.0151109251514718
28,0.0101299357814766,0.36576297564138,0.021440141337629,0.0140419969817715
29,0.00946859280804964,0.368231907457506,0.0199483106201691,0.0130178205715461
30,0.0087283632947629,0.373756588385041,0.0170860963461285,0.0120794273339977
31,0.00794596527836395,0.380921477113573,0.0159657541296323,0.011278127535768
32,0.00722969729537828,0.390203759756687,0.0133896733879487,0.0105936775893128
33,0.0068595879016709,0.401310430914015,0.0126439580475703,0.0100252787868901
34,0.00638331150133397,0.415379816397481,0.0134692381314902,0.00953226792370458
35,0.00598854043717349,0.429009281242211,0.0129418052487379,0.00917408007725113
36,0.00584771544252993,0.444192399596376,0.0122054526573152,0.00887667096191387
37,0.00579196654071609,0.457036665246698,0.0119555229171832,0.0086831933885608
38,0.00597314678817375,0.46615550851779,0.0115009232617664,0.00857075573922457
39,0.00668129425151265,0.470235710866739,0.0113438027224691,0.00850706929005156
40,0.00699118904771711,0.469589680254014,0.00970920143396803,0.0084218890795486
41,0.00725931962275572,0.460153892198284,0.00951700723510702,0.00831428874093149
42,0.00755827495976961,0.44176760400924,0.00755995537464254,0.00810597397251678
43,0.00753047897359454,0.413382210565486,0.00722545615555048,0.00773440581931743
44,0.00713799607947887,0.370419256795878,0.00677342633070355,0.00722101855107918
45,0.00779774473441278,0.341588809483055,0.0072329701342474,0.00775968116171993
46,0.00791683744102999,0.341668114477372,0.00603834973451239,0.00775788005285329
47,0.00799011800019502,0.34204316950953,0.00604179177409449,0.00774937343084743
48,0.00779574516001447,0.343229417904788,0.0034970944897435,0.00772259052321466
49,0.00759238412067319,0.344436052649633,0.00350353126183017,0.0076955366013797
50,0.00737168726444678,0.379559229690887,0.00350462806993917,0.00763158296100196
51,0.00718457406998255,0.380164300688325,0.00350804921654993,0.00761943650352058
52,0.00685443621733348,0.380024876781761,0.00350726030436963,0.00762223192999934
53,0.00665110678274382,0.380834174050445,0.00244152188458664,0.00760603419381244
54,0.00640488360783184,0.381558948097276,0.00244438319479765,0.00759158647554904
55,0.00660789620815769,0.451871610234846,0.00258475255907991,0.00793681859795544
56,0.00645310111793028,0.45575684221965,0.00155948483429468,0.00786915887545038
57,0.0062311605973307,0.457995601853,0.00156592631651839,0.00783069310161435
58,0.00616289117033533,0.459588342547132,0.00157054152889202,0.00780355519925357
59,0.00613846711202683,0.459890739316735,0.00157142084483685,0.00779842404595576
60,0.00613187376892628,0.524025600360672,0.000865821765565054,0.00798444102181313
61,0.00610398047579176,0.523994588807782,0.000865765357640177,0.00798491356469874
62,0.00568615374989019,0.522267709271518,0.000862635838224532,0.00801131570212544
63,0.00516974315313441,0.524723059434715,0.000867092341087147,0.00797382814566504
64,0.00499362118492628,0.525801566909789,0.000869064438644171,0.00795747248261406
65,0.00378622096386261,0.601252889366549,0.000327143660479071,0.00825533621173838
66,0.0050011469303604,0.604251944461609,0.000329622818236249,0.00821436289199291
67,0.00564493045486674,0.603113480955933,0.000328677299728581,0.00822986868430266
68,0.00538733091618843,0.604731350473652,0.000330022604966004,0.0082078508847149
69,0.006290888979293,0.609067772985376,0.000333683386438234,0.00814941287349836
70,0.00711515245572555,0.667253729747396,0.000385240347765903,0.00928561576170669
71,0.00790703516124738,0.6721633015565,0.0003910095772637,0.00921779236630817
72,0.00720133423515182,0.675629616104703,0.000395188017261457,0.00917050052619337
73,0.00661921590520248,0.678582247410164,0.000398818322376552,0.00913059805741566
74,0.00625659797876303,0.684592732717041,0.000406418311074996,0.00905043459256367
75,0.00688640473914563,0.738670567126183,0.000481645073452309,0.0104543484520358
76,0.00658616878930243,0.743665202227202,0.000491029836703338,0.0103841345229983
77,0.00518588542659168,0.749494029850298,0.000502455226182999,0.0103033769348936
78,0.00469385315298363,0.755643128539199,0.000515099220002706,0.0102195324860939
79,0.00466834690891277,0.762923725734954,0.000530917884052128,0.0101220072721697
